rna_type,gene_name,rnacentral_id,hgnc_id
"lncRNA","LINC00431","URS00007E4E65_9606","HGNC:42766"
"lncRNA","ENSG00000229520.2","URS00022B879A_9606","HGNC:42734"
"lncRNA","LINC01070","URS000075ACC7_9606","HGNC:49110"
"lncRNA","GAS6-AS1","URS000075CA64_9606","HGNC:39826"
"lncRNA","RASA3-IT1","URS00021231E9_9606","HGNC:39938"
"lncRNA","LINC01297","URS000194B0D2_9606","HGNC:50443"
"lncRNA","TRD-AS1","URS0000BC4625_9606","HGNC:56197"
"lncRNA","AP1G2-AS1","URS000075E733_9606","HGNC:55442"
"lncRNA","E","URS00002B5786_9606","HGNC:52004"
"lncRNA","LINC00645","URS000075E5F2_9606","HGNC:44299"
"lncRNA","LINC01551","URS000075E7AC_9606","HGNC:19828"
"lncRNA","LINC02313","URS0000BC4568_9606","HGNC:53232"
"lncRNA","SRP54-AS1","URS0000CCE0AE_9606","HGNC:50643"
"lncRNA","LINC02302","URS0000BC44A6_9606","NA"
"lncRNA","LINC00519","URS0000ABD7DD_9606","HGNC:19838"
"lncRNA","LINC02310","URS0000BC45F9_9606","HGNC:53229"
"lncRNA","OTX2-AS1","URS0000BC44B3_9606","HGNC:43906"
"lncRNA","LINC01500","URS00002E7567_9606","HGNC:51166"
"lncRNA","LINC02322","URS0000BC450D_9606","HGNC:53241"
"lncRNA","ENSG00000259153.4","URS00025F5B93_9606","HGNC:53189"
"lncRNA","MIDEAS-AS1","URS000075D197_9606","HGNC:56194"
"lncRNA","LINC02328","URS0000759BB4_9606","HGNC:53248"
"lncRNA","HISLA","URS000075DEBF_9606","HGNC:49467"
"lncRNA","E","URS00001AD995_9606","HGNC:49468"
"lncRNA","LINC00642","URS000075CF09_9606","HGNC:44293"
"lncRNA","FAM181A-AS1","URS0000CCDFA7_9606","HGNC:20133"
"lncRNA","GSC-DT","URS0000A77281_9606","HGNC:53074"
"lncRNA","SNHG10","URS000075DE81_9606","HGNC:27510"
"lncRNA","LINC02318","URS0000BC4587_9606","HGNC:53237"
"lncRNA","TCL6","URS0000CCE05D_9606","HGNC:13463"
"lncRNA","LINC02325","URS000075DF4F_9606","HGNC:53245"
"lncRNA","NONHSAG015852.2","URS00007BF2D9_9606","HGNC:20111"
"lncRNA","ENSG00000258511.2","URS00022B0E07_9606","HGNC:53211"
"lncRNA","LINC02914","URS0000E60A72_9606","HGNC:26375"
"lncRNA","ENSG00000258399.8","URS00025E7A85_9606","HGNC:55978"
"lncRNA","LINC02285","URS0000BC44FB_9606","HGNC:53202"
"lncRNA","LINC02314","URS0000A767BA_9606","HGNC:53233"
"lncRNA","LINC00677","URS0000A76680_9606","HGNC:20121"
"lncRNA","KIF26A-DT","URS0000D780C7_9606","HGNC:55439"
"lncRNA","FAM30A","URS000075B927_9606","HGNC:19955"
"lncRNA","LINC00226","URS000075D64F_9606","HGNC:20168"
"lncRNA","LINC00221","URS000075AA0C_9606","HGNC:20169"
"lncRNA","OR4M2-OT1","URS000075C702_9606","HGNC:28003"
"lncRNA","FAM30C","URS0000ABD8C5_9606","HGNC:31024"
"lncRNA","ENSG00000284500","URS0000CCE0EE_9606","HGNC:53069"
"lncRNA","PWRN4","URS00007E365A_9606","HGNC:49130"
"lncRNA","PWRN1","URS000075E11D_9606","HGNC:33235"
"lncRNA","NONHSAG016302.2","URS000075A2F5_9606","HGNC:6109"
"lncRNA","LINC00929","URS000075E0C7_9606","HGNC:48615"
"lncRNA","GABRG3-AS1","URS000075C3A9_9606","HGNC:40249"
"lncRNA","ARHGAP11A-DT","URS0000A772C5_9606","HGNC:56188"
"lncRNA","RYR3-DT","URS000075D5A4_9606","HGNC:51417"
"lncRNA","LINC02895","URS0000EEC7FA_9606","HGNC:55422"
"lncRNA","OIP5-AS1","URS0000CCE04C_9606","HGNC:43563"
"lncRNA","EHD4-AS1","URS000075AF56_9606","HGNC:51418"
"lncRNA","EIF3J-DT","URS000075DE67_9606","HGNC:48616"
"lncRNA","NONHSAG016810.2","URS000019547E_9606","HGNC:51148"
"lncRNA","TCF12-DT","URS000075D60D_9606","HGNC:27078"
"lncRNA","ALDH1A2-AS1","URS0000BC458D_9606","HGNC:27515"
"lncRNA","RORA-AS2","URS000075B7D4_9606","HGNC:51411"
"lncRNA","LINC02349","URS0000BC464F_9606","HGNC:53271"
"lncRNA","VPS13C-DT","URS0000A775C3_9606","HGNC:55425"
"lncRNA","USP3-AS1","URS000075C5F6_9606","HGNC:44140"
"lncRNA","SKOR1-AS1","URS000075C387_9606","HGNC:56365"
"lncRNA","KIF23-AS1","URS00008E3A4F_9606","HGNC:27075"
"lncRNA","CT62","URS0001BBE3ED_9606","HGNC:27286"
"lncRNA","LOXL1-AS1","URS000075AECF_9606","HGNC:44169"
"lncRNA","LINGO1-AS1","URS000075EF5C_9606","HGNC:27368"
"lncRNA","SNHG21","URS000075A784_9606","HGNC:50284"
"lncRNA","ZNF710-AS1","URS0000BC451E_9606","HGNC:53141"
"lncRNA","LINC01585","URS000075C5A5_9606","HGNC:51432"
"lncRNA","RCCD1-AS1","URS000212315D_9606","HGNC:54811"
"lncRNA","VPS33B-DT","URS000075E68D_9606","HGNC:51413"
"lncRNA","LINC01579","URS0000A7645F_9606","HGNC:27519"
"lncRNA","LETR1","URS000075C35D_9606","HGNC:49597"
"lncRNA","SPATA8-AS1","URS0000759A76_9606","HGNC:48627"
"lncRNA","LINC02254","URS000075A78C_9606","NA"
"lncRNA","LINC02351","URS0000BC44C5_9606","HGNC:53273"
"lncRNA","GCAWKR","URS0000E60AC9_9606","HGNC:53740"
"lncRNA","SSTR5-AS1","URS000075EBD1_9606","HGNC:26502"
"lncRNA","ENSG00000261399.2","URS00022B06CD_9606","HGNC:56087"
"lncRNA","LINC00254","URS000075D281_9606","HGNC:14160"
"lncRNA","MMP25-AS1","URS000075AB0F_9606","HGNC:51372"
"lncRNA","ZNF213-AS1","URS000075E750_9606","HGNC:50505"
"lncRNA","LINC01290","URS0000BC45FA_9606","HGNC:50356"
"lncRNA","RSL1D1-DT","URS00025E8379_9606","HGNC:55337"
"lncRNA","LINC02175","URS0000A769BE_9606","HGNC:27550"
"lncRNA","LINC02195","URS00025F025B_9606","HGNC:53058"
"lncRNA","IL21R-AS1","URS000075B66C_9606","HGNC:27551"
"lncRNA","DNAJA2-DT","URS00025EEB23_9606","HGNC:55375"
"lncRNA","LINC02134","URS0000BC443E_9606","HGNC:52994"
"lncRNA","LINC02168","URS0000BC455D_9606","HGNC:53030"
"lncRNA","LINC03064","URS00022B3B4F_9606","HGNC:56372"
"lncRNA","LINC02169","URS00007E4D1B_9606","HGNC:53031"
"lncRNA","MMP2-AS1","URS0000BC4636_9606","HGNC:53142"
"lncRNA","CDH3-AS1","URS00007658A5_9606","HGNC:56084"
"lncRNA","ENSG00000262136.2","URS00004A85FA_9606","HGNC:55344"
"lncRNA","DDX19A-DT","URS000075AE5D_9606","HGNC:55349"
"lncRNA","VAC14-AS1","URS0000D77FC1_9606","HGNC:48605"
"lncRNA","LINC02136","URS0000BC43FC_9606","HGNC:52995"
"lncRNA","LINC01572","URS0000D77FFD_9606","HGNC:51385"
"lncRNA","ZFHX3-AS1","URS00021ED9E2_9606","HGNC:56033"
"lncRNA","HCCAT5","URS000075E6F4_9606","HGNC:48612"
"lncRNA","LINC01228","URS00021231F7_9606","HGNC:49681"
